10;	800
10;	1000
10;	1200
10;	1000
10;	1400
10;	1200
10;	1400
10;	1100
10;	2000
10;	800
100;	7100
100;	11700
100;	9300
100;	11300
100;	7900
100;	11000
100;	6800
100;	13100
100;	7700
100;	9000
1000;	76000
1000;	74300
1000;	69000
1000;	71200
1000;	69500
1000;	93600
1000;	72500
1000;	75600
1000;	70000
1000;	72100
3000;	333300
3000;	231800
3000;	191500
3000;	188600
3000;	191900
3000;	342200
3000;	342000
3000;	235900
3000;	309800
3000;	283500
7000;	482700
7000;	441700
7000;	486600
7000;	474000
7000;	450400
7000;	486000
7000;	558700
7000;	448100
7000;	453100
7000;	520300
10000;	647300
10000;	641500
10000;	678500
10000;	672900
10000;	681100
10000;	689500
10000;	675200
10000;	643500
10000;	643300
10000;	685100
30000;	2014800
30000;	2042800
30000;	1961600
30000;	2007200
30000;	2059800
30000;	2023500
30000;	2086600
30000;	2361600
30000;	2047200
30000;	2028900
50000;	3411300
50000;	3407800
50000;	3437300
50000;	3694200
50000;	3810300
50000;	3694300
50000;	3763500
50000;	3812300
50000;	3714700
50000;	3723500
70000;	5225400
70000;	5278300
70000;	5390000
70000;	5253900
70000;	5547600
70000;	5270700
70000;	5263600
70000;	5209500
70000;	5339400
70000;	5264600
100000;	7736600
100000;	7799700
100000;	7696100
100000;	7786700
100000;	7867700
100000;	7796800
100000;	10905400
100000;	9673700
100000;	8048600
100000;	7980200
200000;	23739600
200000;	16255000
200000;	22397600
200000;	18692100
200000;	16934400
200000;	16254600
200000;	18654900
200000;	16632600
200000;	16103100
200000;	22826700
